source_language,target_language,source_text,target_text
twi,chinese,Ɛdeɛn na ɛrekɔso wɔ aha?,这是怎么回事？
twi,chinese,Sɔre,醒来
twi,chinese,Ɔba ha Fiada biara,她每个星期五都来这里
twi,chinese,Sua nyansa,学会明智
twi,chinese,Mannwene da sɛ wo bɛyera,我没想到你会迷路
twi,chinese,Sɛ wo pɛ sɛ wo tintim brɔfo ne twi nsɛmfua nnum ne akyire a,如果您想输入超过五对的英语句子
twi,chinese,Me mma reha m'adwene,我的孩子们让我担心。
twi,chinese,Me ne Simeon,我是西蒙
twi,chinese,Dwene wo ho,想想你自己
twi,chinese,Eyi yɛ asɛm papa,这是个好消息
twi,chinese,Fa ɛno ma wo nua barima no,把它给你兄弟
twi,chinese,Me dɔ wo,我爱你
twi,chinese,Ɔdɔ nko ara na yɛ hia,爱是我们所需要的一切
twi,chinese,Wo ho te sɛn?,你好吗？
twi,chinese,Me pɛ w'asɛm pa ara,我很喜欢你
twi,chinese,bra,来
twi,chinese,Ɛsɛ w'ani,眼见为实
twi,chinese,Mehunuu wo akyɛre,我已经很久没见到你了
twi,chinese,Yɛnkɔ to aba,我们去投票吧
twi,chinese,3baa no sɛn na wo Maame amma asɔre?,为什么你妈妈不能去教堂？
twi,chinese,Ɔbaa twɛ,女人的阴道
twi,chinese,Ɛdeɛn na wo pɛ wɔ ha?,你想要什么？
twi,chinese,Deɛ ɔwɔ aka no suro sonsono,一朝被蛇咬两次害羞
twi,chinese,Setie yɛ sen afɔrebɔ,服从比牺牲更好
twi,chinese,Onyame hu wo mma mmɔbɔ,上帝怜悯你的孩子
twi,chinese,Wɔresɛe yɛn din,他们正在玷污我们的形象
twi,chinese,Mabrɛ,我累了
twi,chinese,To wo bo ase,慢慢来
twi,chinese,Wo dɔ me?,你爱我吗？
twi,chinese,Na yei yɛ nwanwa yɛn ani so,这在我们眼中是奇妙的
twi,chinese,Me nso saa ara,我也是
twi,chinese,okuraseni,村民
twi,chinese,Merekɔ sukuu,我要去学校
twi,chinese,ɛte sɛn,你好吗
twi,chinese,M'akoma mu tɔfe,亲爱的
twi,chinese,Onyame adom,神的恩典
twi,chinese,"Kɔte bi,ɛyɛ dɛ",去摘一些吧，很甜的
twi,chinese,3kɔm de me,我饿了
twi,chinese,Me din de Afia Serwaa,我的名字是阿菲亚·塞尔瓦
twi,chinese,Mɛdi nkunim,我会成功的
twi,chinese,Abotrɛ wie nkunimdie,等待是值得的。
twi,chinese,Ɛyɛ me nwanwa!,太棒了！
twi,chinese,Osu retɔ,正在下雨
twi,chinese,Ɔwɔ mogya mu kokram,他患有白血病。
twi,chinese,Bra fie.,回家吧。
twi,chinese,Me rekɔtɔ ankaa.,我要去买橙子。
twi,chinese,Sika no nie,这就是钱
twi,chinese,Ɛyɛ ampa,是真的
twi,chinese,Wo din de sen?,你叫什么名字？
twi,chinese,Adɛn,为什么
twi,chinese,Merekɔ akɔ da,我要睡觉了
twi,chinese,Biribiara bɛyɛ yie.,一切都会好起来的。
twi,chinese,Biribiara bɛyɛ yie.,一切都会好起来的。
twi,chinese,Mepa wo kyɛw,请
twi,chinese,obiara ho yɛ,每个人都很好
twi,chinese,na ɛyɛ,很好
twi,chinese,yɛasiesie aduane ama wo,食物准备好了
twi,chinese,wo pɛ sɛ wobɛhome kakra?,你想现在退休吗？
twi,chinese,Wo din de sɛn?,你叫什么名字？
twi,chinese,Yɛfrɛ wo sɛn?,你叫什么名字？
twi,chinese,Yɛfrɛ wo sɛn?,你怎么称呼？
twi,chinese,maakye,早上好
twi,chinese,mema wo akye,早上好
twi,chinese,akyire,稍后见
twi,chinese,mefiri Australia,我来自澳大利亚
twi,chinese,mebaa nsrahwɛ wɔ ha,我是来参观的
twi,chinese,wobaa ha akyɛ?,你来这里多久了？
twi,chinese,ma yɛnkɔ asɔre,我们去教堂吧
twi,chinese,yɛnkɔ asɔre,我们去教堂吧
twi,chinese,yɛrekɔ pɛ biribi anom,我们要去喝一杯
twi,chinese,yɛrekɔ pɛ biribi anom,我们要找点喝的
twi,chinese,mewɔ ha,我在这儿
twi,chinese,mamen,我吃饱了
twi,chinese,nsutɔ berɛ,雨季
twi,chinese,awia abɔ,天气晴朗
twi,chinese,adeɛ yi yɛ fɛ,这很漂亮
twi,chinese,"ɛwɔ fam dodo, ma me 7 cedis",你的报价太低了，给我7塞地
twi,chinese,yɛayɛ nnamfoɔ,我们已经成为朋友了
